price,sold,Free_Shipping,Paid_Shipping
46.79,600,1,0.0
169.72,0,1,0.0
39.46,7,1,0.0
111.99,0,1,0.0
21.37,1,1,0.0
123.4,53,1,0.0
198.31,1,1,0.0
734.58,5,1,0.0
43.96,3,1,0.0
233.3,0,1,0.0
244.17,1,1,0.0
238.18,0,1,0.0
495.8,0,1,0.0
117.66,0,1,0.0
978.88,0,1,0.0
440.94,0,1,0.0
183.3,0,1,0.0
60.28,4,1,0.0
376.5,0,1,0.0
204.93,0,1,0.0
331.24,39,1,0.0
276.65,0,1,0.0
26.03,1000,1,0.0
321.05,1,1,0.0
219.63,0,1,0.0
574.86,0,1,0.0
497.44,1,1,0.0
382.06,0,1,0.0
49.39,1,1,0.0
225.91,1,1,0.0
74.17,0,1,0.0
179.99,2,1,0.0
48.56,3,1,0.0
9.71,110,1,0.0
172.36,5,1,0.0
91.06,0,1,0.0
86.8,18,1,0.0
40.13,1,1,0.0
445.4,1,1,0.0
270.59,1,1,0.0
157.84,0,1,0.0
123.57,1,1,0.0
87.08,11,1,0.0
177.76,0,1,0.0
384.35,0,1,0.0
161.63,0,1,0.0
288.54,0,1,0.0
404.78,0,1,0.0
435.86,5,1,0.0
393.44,16,1,0.0
432.98,1,1,0.0
144.05,0,1,0.0
335.98,6,1,0.0
96.15,7,1,0.0
279.49,3,1,0.0
313.48,0,1,0.0
308.39,0,1,0.0
136.04,0,1,0.0
160.01,0,1,0.0
86.77,1,1,0.0
175.94,1,1,0.0
552.62,0,1,0.0
122.3,1,1,0.0
266.5,2,1,0.0
303.56,0,1,0.0
31.71,60,1,0.0
36.39,0,1,0.0
105.3,4,1,0.0
101.98,0,1,0.0
194.17,0,1,0.0
48.43,6,1,0.0
159.73,0,1,0.0
584.05,1,1,0.0
218.84,0,1,0.0
106.19,0,1,0.0
21.22,3,1,0.0
129.68,8,1,0.0
143.98,0,1,0.0
172.61,1,1,0.0
151.55,4,1,0.0
237.47,11,1,0.0
282.27,0,1,0.0
55.96,1,1,0.0
305.08,1,1,0.0
342.3,19,1,0.0
149.82,0,1,0.0
77.65,1,1,0.0
423.56,0,1,0.0
145.9,5,1,0.0
200.12,28,1,0.0
38.58,2,1,0.0
361.06,0,1,0.0
90.8,4,1,0.0
297.24,1,1,0.0
150.54,7,1,0.0
186.18,0,1,0.0
58.99,223,1,0.0
141.18,1,1,0.0
377.51,2,1,0.0
167.79,1,1,0.0
302.17,0,1,0.0
103.78,15,1,0.0
84.52,1,1,0.0
713.77,0,1,0.0
157.05,12,1,0.0
302.94,0,1,0.0
897.64,6,1,0.0
192.58,0,1,0.0
443.39,0,1,0.0
93.82,1,1,0.0
356.63,1,1,0.0
115.92,0,1,0.0
263.91,15,1,0.0
115.19,30,1,0.0
42.06,2,1,0.0
115.28,0,1,0.0
111.74,14,1,0.0
107.9,1,1,0.0
73.74,6,1,0.0
131.76,0,1,0.0
94.75,53,0,12.03
89.13,7,1,0.0
156.84,1,1,0.0
85.01,0,1,0.0
82.36,1,1,0.0
265.91,1,1,0.0
148.59,1,1,0.0
148.63,2,1,0.0
165.14,2,1,0.0
131.97,1,1,0.0
313.75,0,1,0.0
351.62,0,1,0.0
164.72,0,1,0.0
208.23,1,1,0.0
222.59,4,1,0.0
139.27,0,1,0.0
207.23,4,1,0.0
129.15,3,1,0.0
86.86,0,1,0.0
1.99,1,1,0.0
81.02,0,1,0.0
484.46,0,1,0.0
163.42,5,1,0.0
103.38,4,1,0.0
42.98,0,1,0.0
104.75,1,1,0.0
387.73,1,1,0.0
181.94,0,1,0.0
225.19,1,1,0.0
42.83,9,1,0.0
298.14,0,1,0.0
141.47,3,1,0.0
