Company,TypeName,Inches,OpSys,Weight,Price,width,height,CpuClockSpeed,Memory_space,Gpu_brand,Gpu_model,Cpu_brand,Cpu_series,Cpu_model_number
Apple,Ultrabook,13.3,macOS,1.37,71378.6832,2560,1600,2.3,128.0,Intel,640.0,Intel,Core i5,7200U
Apple,Ultrabook,13.3,macOS,1.34,47895.5232,1440,900,1.8,128.0,Intel,6000.0,Intel,Core i5,7200U
HP,Notebook,15.6,No OS,1.86,30636.0,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
Apple,Ultrabook,15.4,macOS,1.83,135195.336,2880,1800,2.7,512.0,AMD,455.0,Intel,Core i7,7200U
Apple,Ultrabook,13.3,macOS,1.37,96095.808,2560,1600,3.1,256.0,Intel,650.0,Intel,Core i5,7200U
Acer,Notebook,15.6,Windows 10,2.1,21312.0,1366,768,3.0,500.0,AMD,5.0,AMD,A9-Series,9420
Apple,Ultrabook,15.4,Mac OS X,2.04,114017.6016,2880,1800,2.2,256.0,Intel,650.8931297709923,Intel,Core i7,7200U
Apple,Ultrabook,13.3,macOS,1.34,61735.536,1440,900,1.8,256.0,Intel,6000.0,Intel,Core i5,7200U
Asus,Ultrabook,14.0,Windows 10,1.3,79653.6,1920,1080,1.8,512.0,Nvidia,150.0,Intel,Core i7,8550U
Acer,Ultrabook,14.0,Windows 10,1.6,41025.6,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
HP,Notebook,15.6,No OS,1.86,20986.992,1366,768,2.5,500.0,Intel,620.0,Intel,Core i5,7200U
HP,Notebook,15.6,No OS,1.86,18381.0672,1920,1080,2.0,500.0,Intel,520.0,Intel,Core i3,6006U
Apple,Ultrabook,15.4,macOS,1.83,130001.6016,2880,1800,2.8,256.0,AMD,555.0,Intel,Core i7,7200U
Dell,Notebook,15.6,Windows 10,2.2,26581.392,1920,1080,2.0,256.0,AMD,430.0,Intel,Core i3,6006U
Apple,Ultrabook,12.0,macOS,0.92,67260.672,2304,1440,1.2,256.0,Intel,615.0,Intel,Core M m3,7200U
Apple,Ultrabook,13.3,macOS,1.37,80908.344,2560,1600,2.3,256.0,Intel,640.0,Intel,Core i5,7200U
Dell,Notebook,15.6,Windows 10,2.2,39693.6,1920,1080,2.7,256.0,AMD,430.0,Intel,Core i7,7500U
Apple,Ultrabook,15.4,macOS,1.83,152274.24,2880,1800,2.9,512.0,AMD,560.0,Intel,Core i7,7200U
Lenovo,Notebook,15.6,No OS,2.2,26586.72,1920,1080,2.4,1.0,Nvidia,650.8931297709923,Intel,Core i3,7100U
Dell,Ultrabook,13.3,Windows 10,1.22,52161.12,1920,1080,1.6,128.0,Intel,620.0,Intel,Core i5,8250U
Lenovo,Notebook,15.130817610062895,Windows 10,2.077618081761006,59955.81407321288,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
Lenovo,Gaming,15.6,Windows 10,2.5,53226.72,1920,1080,2.5,128.0,Nvidia,1050.0,Intel,Core i5,7300H
HP,Notebook,15.6,No OS,1.86,13746.24,1366,768,1.5,500.0,AMD,2.0,AMD,unknown,9000
Dell,2 in 1 Convertible,13.3,Windows 10,1.62,43636.32,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
HP,Ultrabook,15.6,Windows 10,1.91,35111.52,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Dell,Notebook,15.6,Windows 10,2.3,22305.1392,1366,768,2.0,1.0,Intel,520.0,Intel,Core i3,6006U
Apple,Ultrabook,13.3,Mac OS X,1.35,58554.72,1440,900,1.6,128.0,Intel,6000.0,Intel,Core i5,7200U
Dell,Notebook,15.6,Windows 10,2.2,42624.0,1920,1080,1.6,256.0,AMD,530.0,Intel,Core i5,8250U
Dell,Ultrabook,15.6,Windows 10,1.88,69157.44,1920,1080,1.9,256.0,Intel,620.0,Intel,Core i7,8650U
HP,Notebook,17.3,Windows 10,2.5,47738.88,1920,1080,1.6,1.0,Nvidia,650.8931297709923,Intel,Core i5,8250U
Chuwi,Notebook,15.6,Windows 10,1.89,13053.0672,1920,1080,1.44,64.0,Intel,650.8931297709923,Intel,Atom,8300
Asus,Notebook,14.0,Windows 10,1.65,10602.72,1366,768,1.5,32.0,AMD,2.0,AMD,unknown,6110
HP,Notebook,17.3,Windows 10,2.71,23389.92,1920,1080,2.5,500.0,AMD,530.0,AMD,A6-Series,9220
Dell,Ultrabook,13.3,Windows 10,1.2,99580.32,3200,1800,1.8,512.0,Intel,620.0,Intel,Core i7,8550U
Apple,Ultrabook,13.3,Mac OS X,1.35,53173.44,1440,900,1.6,256.0,Intel,6000.0,Intel,Core i5,7200U
Lenovo,Notebook,14.0,Windows 10,1.44,13266.72,1366,768,1.1,64.0,Intel,500.0,Intel,Celeron,3350
Acer,Notebook,15.6,Linux,2.1,19553.76,1366,768,2.7,1.0,Intel,620.0,Intel,Core i3,7130U
Dell,Notebook,17.3,Windows 10,2.8,52161.12,1920,1080,1.6,128.0,AMD,530.0,Intel,Core i5,8250U
HP,Notebook,15.6,Windows 10,1.86,26037.4032,1366,768,2.5,1.0,Intel,620.0,Intel,Core i5,7200U
HP,Notebook,15.6,Windows 10,2.1,46833.12,1920,1080,1.6,256.0,Nvidia,650.8931297709923,Intel,Core i5,8250U
Asus,Notebook,15.6,Linux,2.0,20725.92,1920,1080,2.0,1.0,Intel,620.0,Intel,Core i3,6006U
Dell,Gaming,15.6,Windows 10,2.65,79866.72,1920,1080,2.8,256.0,Nvidia,1060.0,Intel,Core i7,7700H
Asus,Notebook,15.6,Linux,2.3,27864.9072,1366,768,2.5,1.0,Nvidia,650.8931297709923,Intel,Core i5,7200U
Acer,Notebook,15.6,Windows 10,2.2,36336.96,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Dell,2 in 1 Convertible,17.3,Windows 10,2.77,53226.72,1920,1080,1.6,1.0,Nvidia,650.8931297709923,Intel,Core i5,8250U
Apple,Ultrabook,13.3,macOS,1.37,75604.32,2560,1600,2.0,256.0,Intel,540.0,Intel,Core i5,7200U
Asus,Gaming,17.3,Windows 10,3.2,69210.72,1920,1080,3.0,256.0,AMD,580.0,AMD,Ryzen 1,1700
Dell,Notebook,15.6,Windows 10,2.3,34045.92,1920,1080,2.5,256.0,AMD,430.0,Intel,Core i5,7200U
Asus,Notebook,17.3,Windows 10,2.8,24828.48,1366,768,1.1,1.0,Nvidia,650.8931297709923,Intel,Pentium,4200
Acer,Notebook,15.6,Windows 10,2.2,44808.48,1920,1080,1.8,256.0,Nvidia,150.0,Intel,Core i7,8550U
HP,Notebook,15.6,Windows 10,1.86,21231.5472,1920,1080,2.5,256.0,AMD,650.8931297709923,AMD,A6-Series,9220
HP,Notebook,13.3,Windows 10,1.49,58767.84,1920,1080,1.8,512.0,Intel,620.0,Intel,Core i7,8550U
Acer,Notebook,15.6,Windows 10,2.4,20459.52,1366,768,2.4,1.0,Intel,620.0,Intel,Core i3,7100U
Dell,Notebook,15.6,Windows 10,2.13,40908.384,1920,1080,1.8,256.0,AMD,520.0,Intel,Core i7,8550U
HP,Notebook,15.6,Windows 10,1.91,23389.92,1920,1080,2.0,128.0,Intel,520.0,Intel,Core i3,6006U
Asus,Notebook,15.6,Windows 10,2.0,31232.2032,1366,768,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
MSI,Gaming,17.3,Windows 10,2.43,130482.72,1920,1080,2.8,256.0,Nvidia,1070.0,Intel,Core i7,7700H
Asus,Notebook,15.6,Linux,2.0,22111.2,1920,1080,2.0,256.0,Intel,520.0,Intel,Core i3,6006U
